
ivm1000;О численном решении уравнений экстремалей вариационной задачи с ограничениями;;517.933517.972;;;Р. Г. Мухарлямов, ;;;;2002
ivm1001;Граничное поведение интеграла типа логарифмического вычета;;517.55;;;С. Г. Мысливец, ;;;;2002
ivm1002;О совпадении двух линейно-инвариантных семейств функций;;517.546;;;В. В. Старков, З. И. Якубовский, ;;;;2002
ivm1003;Аналог задачи Франкля для уравнения второго рода;;517.956.6;;;Р. С. Хайруллин, ;;;;2002
ivm1004;Получение классов данных для корректной постановки обратной краевой задачи путем перепараметризации;;517.544;;;Е. А. Широкова, ;;;;2002
ivm1005;О некоторых решениях задачи о распаде разрыва в динамике неньютоновской жидкости;;517.958:532.5;;;Л. Д. Эскин, ;;;;2002
ivm1007;Дифференциальная точка поворота в теории сингулярных возмущений. II;;517.9;;;В. Н. Бобочко, ;;;;2002
ivm1008;Два замечания о тождествах решеток $\omega$-локальных и $\omega$-композиционных формаций ;;512.542;;;Го Вень Бинь, А. Н. Скиба, ;;;;2002
ivm1009;Проективное изгибание второго порядка семейств $L^m_{2n-1}$;;514.755;;;Т. Б. Жогова, ;;;;1997
ivm100;Принцип мaкcимумa энтропии в cтруктурной идентификaции динaмичеcкиx cиcтем. Aнaлитичеcкий подxод;;517.926;;;А. В. Данеев, В. А. Русанов, Д. Ю. Шарпинский, ;;;;2005
ivm1010;О задачах Коши для двух уравнений в частных производных;;517.955;;;В. И. Жегалов, А. Н. Миронов, ;;;;2002
ivm1011;О строении алгебры инвариантных аффинорных структур на сфере $S^5$;;.514.765;;;Л. В. Липагина, ;;;;1997
ivm1012;Некоторые классы сингулярных интегральных уравнений, разрешаемые в замкнутой форме;;517.544;;;С. Н. Киясов, ;;;;2002
ivm1013;Асимптотическое интегрирование квазилинейных параболических ;;517.956;;;В. Б. Левенштам, ;;;;2002
ivm1014;Об элементарной эквивалентности производных структур свободных решеток;;512.579;;;А. Г. Пинус, ;;;;2002
ivm1015;Обобщенно рекуррентное симметрическое тензорное поле;;514.763;;;М. В. Смольникова, ;;;;2002
ivm1016;Общие аналитические и бесконечно малые деформации погружений. I;;514.76;;;П. Е. Марков, ;;;;1997
ivm1017;Оснащения и аффинные связности на распределениях конформного пространства;;514.756.2;;;А. В. Столяров, ;;;;2002
ivm1018;Операды в категории конвексоров. II;;512;;;С. Н. Тронин, ;;;;2002
ivm1019;Геометрия однородных $\Phi$-пространств порядка 5;;514.465;;;Ю. Д. Чурбанов, ;;;;2002
ivm101;Задача сопряжения решений нестационарного уравнения теплопроводности в трехмерных ;;517.544;;;И. Т. Денисюк, ;;;;2005
ivm1020;Подмногообразия с симметрическими фундаментальными формами высшего порядка как огибающие;;514.752;;;В. А. Мирзоян, ;;;;1997
ivm1021;Трехмерные алгебры Ли локально транзитивных преобразований пространства;;512.816;;;Г. Г. Михайличенко, ;;;;1997
ivm1022;Интегральный аналог уравнений Дарбу для погружений двумерных метрик;;514.748;;;И. Х. Сабитов, ;;;;1997
ivm1023;Геометрия грассманова расслоения. I;;514.76;;;Н. К. Фарафонова, ;;;;1997
ivm1024;Преобразование Бианки $n$-поверхностей в $E^{2n-1}$;;514.75;;;М. А. Чешкова, ;;;;1997
ivm1025;Секционные кривизны многообразий типа Калуцы--Клейна;;514.77;;;Е. И. Яковлев, ;;;;1997
ivm1026;Спектральный анализ разностных операторов с сильно непрерывными коэффициентами;;517.929;;;А. Г. Баскаков, ;;;;1997
ivm1027;Одна задача Коши с начальными данными на разных поверхностях для системы с особенностью;;517.955;;;С. П. Баутин, А. Л. Казаков, ;;;;1997
ivm1028;О единственности положительного решения одной нелинейной двухточечной краевой задачи;;517.927;;;Э. И. Абдурагимов, ;;;;2002
ivm1029;О базисности семейства экспоненциальных решений дифференциально-разностных уравнений;;517.929;;;В. В. Власов, ;;;;2002
ivm102;Преобразование Кокстера и условие ацикличности;;512.543:512.643:512.817;;;В. А. Колмыков, ;;;;2005
ivm1030;О корректности расширения задач управления почти периодическими движениями;;517.977.1;;;А. Г. Иванов, ;;;;2002
ivm1031;Наследуемые свойства неавтономных динамических систем ;;517.929;;;В. Г. Ильичев, ;;;;2002
ivm1032;Исследование решений уравнения для дрейфов волнового твердотельного гироскопа ;;517.93531.38;;;Ю. В. Коган, А. В. Рубиновский, ;;;;2002
ivm1033;Об оценке матрицы Коши некоторых систем с последействием;;517.929;;;В. В. Малыгина, ;;;;2002
ivm1034;Проблема собственных значений во всем пространстве для уравнений с разрывными коэффициентами;;517.956;;;В. С. Мокейчев, ;;;;2002
ivm1035;Об эквивалентности локальной достижимости и полной управляемости линейных систем;;.517.977;;;С. Н. Попова, ;;;;2002
ivm1036;Об эллиптической краевой задаче с оператором суперпозиции в граничном условии. II;;517.956;;;А. К. Ратыни, ;;;;2002
ivm1037;Ненулевые периодические решения неавтономной ;;517.925;;;М. Т. Терехин, ;;;;2002
ivm1038;Линейные алгебро-дифференциальные системы с переменным отклонением аргумента;;517.929;;;А. А. Щеглова, ;;;;2002
ivm1039;Асимптотика решений уравнений Вольтерра--Гаммерштейна;;517.968;;;З. Б. Цалюк, С. С. Чистоклетова, ;;;;2002
ivm103;Возможности вероятностных упорядоченных $k$ раз читающих и детерминированных один раз читающих бинарных программ несравнимы;;519.714;;;Р. Г. Мубаракзянов, ;;;;2005
ivm1040;Аналог теоремы Пикара для уравнения 1-го рода в свертках с гладким ядром;;517.968;;;А. Ф. Воронин, ;;;;2002
ivm1041;К вопросу о восстановлении потенциала в обратной задаче Робина;;517.946;;;В. В. Дубровский, Л. В. Смирнова, ;;;;2002
ivm1042;Алгоритм построения квазирегулярного асимптотического представления решения сингулярно возмущенных линейных многоточечных краевых задач с быстрыми и медленными переменными;;.517.977;;;Ю. А. Коняев, ;;;;2002
ivm1043;Центральные элементы и инварианты в модулярных алгебрах Ли;;512.571;;;Н. А. Корешков, ;;;;2002
ivm1044;Эквивалентность путей относительно действия симплектической группы;;512.7:514.7;;;К. К. Муминов, ;;;;2002
ivm1045;Ортогональные подпространства перестановочно-инвариантных пространств;;517.982;;;Е. М. Семёнов, К. Франкетти, ;;;;2002
ivm1046;Бифуркация ограниченных решений системы обыкновенных ;;517.925;;;Ю. В. Усачёв, ;;;;2002
ivm1047;Управляемость линейных уравнений соболевского типа ;;517.9;;;Е. В. Федоров, О. А. Рузакова, ;;;;2002
ivm1048;Классы $L_{p,r}^\alpha$ типа Лизоркина--Самко, связанные с комплексными степенями ;;517.983;;;А. П. Чеголин, ;;;;2002
ivm1049;Об алгебро-дифференциальных системах с отклоняющимся аргументом;;517.518;;;А. А. Щеглова, ;;;;2002
ivm104;О прямом методе решения сингулярного интегродифференциального уравнения на отрезке вещественной оси;;517.968:519.6;;;М. Ю. Першагин, ;;;;2005
ivm1050;Структура множества Парето некоторых векторных задач ;;..519.854.2;;;А. Б. Зинченко, ;;;;2002
ivm1051;О применении проекционного метода к парным интегральным операторам с однородными ядрами;;517.968;;;О. Г. Авсянкин, ;;;;2002
ivm1052;Задача сопряжения для неоднородного уравнения Коши--Римана на римановой поверхности;;517.544;;;Н. А. Бариева, И. А. Бикчантаев, ;;;;2002
ivm1053;Представляющие системы периодических мероморфных функций;;517.518;;;Ф. Н. Гарифьянов, ;;;;2002
ivm1054;О проективных модулях с полулокальным кольцом эндоморфизмов;;512.553.2;;;Х. Ломп, М. Ф. Насрутдинов, И. И. Сахаев, ;;;;2002
ivm1055;Эллипсоидальное оценивание решений дифференциальных уравнений с помощью матричных систем сравнения;;.517.977;;;А. И. Маликов, ;;;;2002
ivm1056;Построение бесконечномерных относительных гомотопических групп в гильбертовом пространстве;;:515.143;;;Э. А. Мирзаханян, ;;;;2002
ivm1057;Представление функций разностью штейнеровских потенциалов;;517.518;;;А. Б. Секерин, ;;;;2002
ivm1058;Неравенства типа Бернштейна, Джексона--Никольского и их приложения;;517.518;;;М. Б. Сихов, ;;;;2002
ivm1059;Об одном аналоге теоремы Пэли--Винера;;517.443;;;Д. К. Угулава, ;;;;2002
ivm105;Фазовое пространство одной неклассической модели;;517.947;;;Г. А. Свиридюк, В. В. Шеметова, ;;;;2005
